GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecommerce-review-system,com.fsoft.ecommerce.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
ecommerce-review-system,com.fsoft.ecommerce.exception,ProductNotFoundException,0,4,0,0,0,2,0,1,0,1
ecommerce-review-system,com.fsoft.ecommerce.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
ecommerce-review-system,com.fsoft.ecommerce.exception,UserNotPurchasedProductException,0,4,0,0,0,2,0,1,0,1
ecommerce-review-system,com.fsoft.ecommerce.exception,GlobalExceptionHandler,10,0,0,0,2,0,2,0,2,0
ecommerce-review-system,com.fsoft.ecommerce.exception,DuplicateReviewException,0,4,0,0,0,2,0,1,0,1
ecommerce-review-system,com.fsoft.ecommerce.service.impl,ProductServiceImpl,33,176,5,7,3,45,7,12,2,11
ecommerce-review-system,com.fsoft.ecommerce.service.impl,OrderServiceImpl.InventoryReservation,0,15,0,0,0,6,0,3,0,3
ecommerce-review-system,com.fsoft.ecommerce.service.impl,CategoryServiceImpl,0,68,0,2,0,15,0,9,0,8
ecommerce-review-system,com.fsoft.ecommerce.service.impl,UserServiceImpl,0,70,0,6,0,15,0,11,0,8
ecommerce-review-system,com.fsoft.ecommerce.service.impl,OrderServiceImpl.OrderValidationContext,0,15,0,0,0,6,0,3,0,3
ecommerce-review-system,com.fsoft.ecommerce.service.impl,PurchaseVerificationServiceImpl,0,10,0,0,0,2,0,2,0,2
ecommerce-review-system,com.fsoft.ecommerce.service.impl,ReviewServiceImpl,0,119,0,10,0,22,0,12,0,7
ecommerce-review-system,com.fsoft.ecommerce.service.impl,OrderServiceImpl,91,493,5,21,22,118,9,46,4,38
ecommerce-review-system,com.fsoft.ecommerce.service.impl,ProductRatingServiceImpl,0,36,0,0,0,8,0,3,0,3
ecommerce-review-system,com.fsoft.ecommerce.service.impl,DashboardServiceImpl,0,53,0,4,0,10,0,6,0,4
ecommerce-review-system,com.fsoft.ecommerce.config,SwaggerConfig,17,0,0,0,3,0,2,0,2,0
ecommerce-review-system,com.fsoft.ecommerce.config,SecurityConfig,0,341,0,0,0,45,0,11,0,11
ecommerce-review-system,com.fsoft.ecommerce.config,AuditingConfig,3,0,0,0,1,0,1,0,1,0
ecommerce-review-system,com.fsoft.ecommerce.entity,Order,24,52,0,0,7,23,3,13,3,13
ecommerce-review-system,com.fsoft.ecommerce.entity,OrderStatus,0,33,0,0,0,2,0,1,0,1
ecommerce-review-system,com.fsoft.ecommerce.entity,Role,0,15,0,0,0,2,0,1,0,1
ecommerce-review-system,com.fsoft.ecommerce.entity,OrderItem,30,23,0,0,11,11,6,6,6,6
ecommerce-review-system,com.fsoft.ecommerce.entity,Product,25,87,0,0,7,38,1,23,1,23
ecommerce-review-system,com.fsoft.ecommerce.entity,User,0,120,0,0,0,46,0,27,0,27
ecommerce-review-system,com.fsoft.ecommerce.entity,Review,16,50,0,0,6,21,5,9,5,9
ecommerce-review-system,com.fsoft.ecommerce,EcommerceReviewSystemApplication,8,0,0,0,3,0,2,0,2,0
ecommerce-review-system,com.fsoft.ecommerce.controller,ProductController,43,0,0,0,11,0,6,0,6,0
ecommerce-review-system,com.fsoft.ecommerce.controller,AuthController.LoginRequest,17,0,0,0,5,0,5,0,5,0
ecommerce-review-system,com.fsoft.ecommerce.controller,DashboardController,0,10,0,0,0,3,0,2,0,2
ecommerce-review-system,com.fsoft.ecommerce.controller,ReviewController,27,0,0,0,7,0,4,0,4,0
ecommerce-review-system,com.fsoft.ecommerce.controller,AuthController,50,87,4,6,13,23,3,6,1,3
ecommerce-review-system,com.fsoft.ecommerce.controller,UserController,110,0,0,0,25,0,9,0,9,0
ecommerce-review-system,com.fsoft.ecommerce.controller,OrderController,132,0,0,0,39,0,14,0,14,0
ecommerce-review-system,com.fsoft.ecommerce.controller,CategoryController,43,0,0,0,11,0,6,0,6,0
ecommerce-review-system,com.fsoft.ecommerce.dto,UserRegistrationDTO,18,38,0,0,7,16,1,11,1,11
ecommerce-review-system,com.fsoft.ecommerce.dto,CreateOrderRequestDTO,22,31,0,0,9,13,3,9,3,9
ecommerce-review-system,com.fsoft.ecommerce.dto,ReviewDTO,60,17,12,0,14,7,14,5,8,5
ecommerce-review-system,com.fsoft.ecommerce.dto,CategoryDTO,0,26,0,0,0,11,0,6,0,6
ecommerce-review-system,com.fsoft.ecommerce.dto,OrderDTO,64,20,12,0,16,8,15,6,9,6
ecommerce-review-system,com.fsoft.ecommerce.dto,ProductDTO,0,66,0,0,0,28,0,19,0,19
ecommerce-review-system,com.fsoft.ecommerce.dto,DashboardStatsDTO,15,21,0,0,7,8,4,4,4,4
ecommerce-review-system,com.fsoft.ecommerce.dto,UserDTO,31,0,0,0,9,0,9,0,9,0
